N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"57,000","하락
				500",-0.87%,100,"3,402,776","5,969,783",52.40,"13,451,844",13.93,4.15,
2,SK하이닉스,"200,500","상승
				3,100",+1.57%,"5,000","1,459,645","728,002",54.80,"2,985,010",58.42,-15.61,
3,LG에너지솔루션,"398,500","상승
				12,500",+3.24%,500,"932,490","234,000",4.98,"375,539",-555.01,6.36,
4,삼성바이오로직스,"1,004,000","상승
				9,000",+0.90%,"2,500","714,587","71,174",13.31,"64,550",69.49,9.12,
5,현대차,"203,500","하락
				4,000",-1.93%,"5,000","426,162","209,416",40.29,"705,626",4.41,13.68,
6,셀트리온,"181,500","상승
				1,300",+0.72%,"1,000","393,893","217,021",22.93,"411,489",102.54,5.07,
7,삼성전자우,"47,200","상승
				200",+0.43%,100,"388,403","822,887",74.60,"806,563",11.54,N/A,
8,기아,"93,000","하락
				1,000",-1.06%,"5,000","371,868","399,858",39.21,"919,153",3.89,20.44,
9,KB금융,"93,200","하락
				900",-0.96%,"5,000","366,768","393,528",78.01,"621,788",8.52,8.44,
10,신한지주,"56,800","하락
				200",-0.35%,"5,000","289,335","509,393",61.05,"847,998",6.50,8.36,
11,NAVER,"174,600","하락
				5,100",-2.84%,100,"280,730","160,785",43.11,"1,224,904",18.50,4.41,
12,POSCO홀딩스,"320,000","하락
				8,000",-2.44%,"5,000","264,398","82,624",28.53,"457,572",20.01,3.18,
13,고려아연,"1,146,000","하락
				100,000",-8.03%,"5,000","237,260","20,703",13.90,"93,457",43.04,5.72,
14,현대모비스,"244,500","상승
				5,000",+2.09%,"5,000","227,373","92,995",40.94,"145,440",6.54,8.73,
15,삼성물산,"123,100","상승
				700",+0.57%,100,"218,852","177,784",26.71,"177,146",10.10,7.28,
16,LG화학,"303,000","하락
				1,000",-0.33%,"5,000","213,895","70,592",34.53,"231,926",149.48,4.20,
17,삼성생명,"104,900","상승
				1,900",+1.84%,500,"209,800","200,000",21.95,"114,499",9.16,4.95,
18,메리츠금융지주,"105,800","상승
				1,300",+1.24%,500,"201,782","190,720",16.69,"180,284",9.49,28.11,
19,삼성SDI,"284,500","하락
				3,500",-1.22%,"5,000","195,635","68,765",37.45,"720,945",11.74,11.48,
20,HD현대중공업,"209,500","상승
				1,000",+0.48%,"5,000","185,980","88,773",10.66,"549,016",91.21,0.47,
21,한화에어로스페이스,"403,500","하락
				1,500",-0.37%,"5,000","183,920","45,581",43.35,"335,602",73.06,25.60,
22,하나금융지주,"61,200",보합0,0.00%,"5,000","175,791","287,241",68.36,"750,495",5.17,9.01,
23,포스코퓨처엠,"212,000","상승
				1,000",+0.47%,500,"164,222","77,463",9.60,"380,053","-10,600.00",1.19,
24,삼성화재,"345,000","상승
				2,500",+0.73%,500,"163,443","47,375",53.99,"39,194",9.11,12.73,
25,크래프톤,"325,000","하락
				26,000",-7.41%,100,"155,675","47,900",41.54,"407,049",17.62,11.16,
26,카카오,"35,000","하락
				1,550",-4.24%,100,"155,243","443,553",26.79,"2,211,773",-16.00,-10.26,
27,KT&G,"119,500","상승
				11,600",+10.75%,"5,000","151,421","126,712",45.60,"738,800",15.47,9.76,
28,LG전자,"91,200","하락
				400",-0.44%,"5,000","149,247","163,648",33.45,"227,726",14.81,3.69,
29,한국전력,"22,200","하락
				600",-2.63%,"5,000","142,516","641,964",15.57,"1,997,811",5.37,-12.63,
